BehaviorSpace results (NetLogo 5.2.0);;;;;;;
ZT3_zboril_martin.nlogo;;;;;;;
experiment_raising_modulo;;;;;;;
10/31/2015 21:21:22:761 +0100;;;;;;;
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor""";;;;;;;
"-250,""250"",""-150"",""150""";;;;;;;
[run number];RandomNumber;Modulo;NumberOfLayers;[step];amountA;amountR;amountL
4;1000;53;6;13952;2191;13368;5911
3;1000;42;6;46116;2301;43790;2417
1;1000;20;6;72527;2301;65179;2429
5;1000;64;6;80170;2213;77452;4651
6;1000;75;6;112923;2213;109700;10679
9;1000;108;6;38578;2191;37766;2353
8;1000;97;6;129825;2191;126797;4713
7;1000;86;6;106112;2191;103430;2337
2;1000;31;6;275546;2137;256871;2359
10;1000;119;6;72716;2213;71320;3801
11;1000;130;6;45560;2281;44767;2737
15;1000;174;6;19646;2191;19386;2459
14;1000;163;6;41315;2301;40729;2375
12;1000;141;6;42461;2115;41782;2173
16;1000;185;6;57749;2191;57035;2405
13;1000;152;6;102895;2191;101365;2257
17;1000;196;6;55779;2115;55064;6205
19;1000;218;6;15492;2191;15325;15492
21;1000;240;6;24542;2191;24297;2241
20;1000;229;6;28707;2281;28417;2609
23;1000;262;6;22360;2191;22166;2365
24;1000;273;6;23590;2191;23369;12669
25;1000;284;6;19201;2191;19030;11105
22;1000;251;6;63757;2409;63156;2487
27;1000;306;6;20150;2191;19974;2343
28;1000;317;6;32978;2301;32664;2755
26;1000;295;6;75921;2115;75207;2509
30;1000;339;6;18999;2281;18872;4183
18;1000;207;6;120386;2191;119006;9269
33;1000;372;6;16807;2281;16683;2799
31;1000;350;6;50678;2191;50332;2593
29;1000;328;6;86830;2191;86014;2469
35;1000;394;6;64745;2301;64320;2335
36;1000;405;6;79435;2191;78881;16791
34;1000;383;6;80436;2191;79925;2341
37;1000;416;6;57391;2115;57005;2257
32;1000;361;6;165609;2115;164479;7127
38;1000;427;6;44642;2191;44327;3941
41;1000;460;6;71334;2191;70842;2413
39;1000;438;6;72068;2301;71570;2873
43;1000;482;6;34490;2191;34265;2269
44;1000;493;6;31881;2281;31637;2897
45;1000;504;6;28998;2191;28858;4669
42;1000;471;6;158712;2191;157649;2289
40;1000;449;6;170623;2301;169457;2447
49;1000;548;6;43215;2301;43004;2331
46;1000;515;6;57897;2191;57615;3449
48;1000;537;6;47526;2191;47292;8617
50;1000;559;6;23737;2191;23638;2239
52;1000;581;6;40039;2191;39864;2253
51;1000;570;6;35309;2301;35146;2593
53;1000;592;6;30336;2191;30190;4505
55;1000;614;6;11456;2191;11400;3567
56;1000;625;6;24606;2191;24488;2269
47;1000;526;6;163717;2191;162954;2593
58;1000;647;6;28275;2191;28136;2605
54;1000;603;6;116143;2301;115593;16183
59;1000;658;6;100983;2191;100476;3251
61;1000;680;6;21230;2191;21130;2301
63;1000;702;6;52794;2301;52541;3361
62;1000;691;6;78557;2137;78177;3491
64;1000;713;6;30157;2191;30011;3943
57;1000;636;6;145001;2191;144312;9241
65;1000;724;6;32396;2263;32239;2341
66;1000;735;6;36187;2115;36005;4019
67;1000;746;6;64347;2115;64040;2343
60;1000;669;6;260686;2191;259445;2655
70;1000;779;6;18334;2191;18262;4547
72;1000;801;6;10252;2191;10206;2821
68;1000;757;6;113790;2115;113284;2663
69;1000;768;6;198199;2115;197272;2507
71;1000;790;6;125359;2191;124756;2297
73;1000;812;6;98963;2191;98509;2373
75;1000;834;6;45573;2191;45329;8301
76;1000;845;6;83558;2191;83151;3237
79;1000;878;6;47575;2191;47373;2935
78;1000;867;6;115260;2191;114701;115260
77;1000;856;6;103730;2191;103273;2561
74;1000;823;6;274936;2115;273589;2471
80;1000;889;6;108561;2301;108031;2641
83;1000;922;6;75991;2191;75632;9397
84;1000;933;6;23650;2191;23544;2879
82;1000;911;6;78350;2191;77976;3823
85;1000;944;6;98079;2191;97602;2785
81;1000;900;6;182682;2191;181868;3259
89;1000;988;6;40622;2191;40422;6501
88;1000;977;6;54067;2323;53774;2711
87;1000;966;6;81248;2115;80870;2393
86;1000;955;6;142077;2301;141383;2619
90;1000;999;6;287747;2191;286681;2269
